Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 56363.53, cantidad escalas: 6
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 48126.67999999999, cantidad escalas: 7
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 56463.31, cantidad escalas: 7
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 40451.56, cantidad escalas: 9
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 50943.81, cantidad escalas: 10
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 51043.59, cantidad escalas: 11
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 35899.15, cantidad escalas: 6
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 17522.49, cantidad escalas: 4
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 19517.68, cantidad escalas: 5
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 40450.95, cantidad escalas: 6
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 32214.1, cantidad escalas: 7
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 40550.729999999996, cantidad escalas: 7
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 24538.98, cantidad escalas: 9
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 35031.229999999996, cantidad escalas: 10
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 35131.01, cantidad escalas: 11
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 22037.03, cantidad escalas: 3
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 22949.25, cantidad escalas: 4
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 14712.400000000001, cantidad escalas: 5
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 21588.02, cantidad escalas: 9
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 40303.700000000004, cantidad escalas: 12
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 47068.97, cantidad escalas: 12
