Jorge Newbery;CABA;ARG
Ministro Pistarini;Ezeiza;ARG
Comodoro Benitez;Santiago;CHI
Pucon; Pucon;CHI
John F. Kennedy;New York;USA
Francisco Gabrielli;Mendoza;ARG
Comandante Espora;Bahia Blanca;ARG
Madrid-Barajas;Madrid;ESP
El prat;Barcelona;ESP
Humberto Delgado;Lisboa;POR
Kingsford Smith;Sydney;AUS
Silvio Pettirosi;Asuncion;PAR
Armando Tola;Calafate;ARG
Logan;Boston;USA
